# uniform1 uniform2 gaussian1 gaussian2
  0.093297 0.628183 -1.318431 -0.423622
  0.869123 0.373748 -0.070222 -1.237828
  0.908216 0.069627 0.325212 0.974810
  0.043848 0.654616 0.641813 -0.128026
  0.336524 0.503449 0.180797 -1.903111
  0.860334 0.960179 2.397888 0.948870
  0.987269 0.547896 -0.935734 -1.538314
  0.942087 0.971226 -0.096573 -0.182166
  0.080231 0.612059 -0.374459 0.737552
  0.472144 0.016234 -1.309463 0.301620
  0.966589 0.629261 -0.021427 0.908197
  0.404592 0.579021 0.644034 -0.354947
  0.991348 0.584338 0.191598 -1.341725
  0.087407 0.727589 1.033359 -0.909768
  0.390069 0.187598 0.828669 -1.005417
  0.617388 0.156845 -0.391111 0.923877
  0.042308 0.149061 0.814711 -0.365755
  0.802020 0.667402 0.000155 0.178548
  0.450781 0.998730 -0.385049 0.312217
  0.382277 0.680355 0.070503 0.132986
  0.919237 0.164919 -0.089814 1.291969
  0.396339 0.296817 -0.864462 1.292089
  0.761247 0.749413 0.500064 0.058902
  0.965059 0.339577 -1.976735 1.190030
  0.834644 0.416112 1.389544 0.632371
  0.489308 0.204403 -1.281922 -0.388213
  0.802800 0.702801 2.107341 -2.263643
  0.810636 0.719372 0.374320 -0.747570
  0.038553 0.274283 -1.967089 -0.272320
  0.148935 0.529391 -0.059992 -1.541518
  0.392683 0.096041 1.785995 -0.178836
  0.719245 0.527653 1.445202 1.022511
  0.984614 0.708674 2.592840 -2.655692
  0.002648 0.523509 0.587600 0.163337
  0.502178 0.374929 -0.588344 -0.514522
  0.979937 0.793238 1.293281 0.484070
  0.821200 0.099209 -0.374177 -2.016985
  0.894418 0.374435 0.210531 1.474287
  0.049211 0.973727 0.795721 -0.782504
  0.656546 0.192094 -0.220453 -0.721059
  0.775782 0.905577 1.255045 -1.333678
  0.943694 0.062898 -0.759190 -0.269973
  0.850670 0.526073 -0.978822 1.437827
  0.881436 0.874769 -1.497689 -2.744200
  0.397802 0.930574 0.098460 -0.567745
  0.559628 0.492407 -1.421322 -0.562948
  0.477949 0.682673 0.072319 0.631937
  0.296918 0.952787 2.087369 0.959299
  0.942698 0.559149 0.728215 0.793975
  0.877917 0.272902 -1.761147 -0.704024
  0.566362 0.741483 0.015149 0.017604
  0.951692 0.852655 1.102103 0.349968
  0.934431 0.479252 0.022417 0.285804
  0.256597 0.706594 0.599999 -0.607619
  0.860678 0.237165 0.781267 -0.833689
  0.503514 0.064130 0.850789 -0.498506
  0.380889 0.954641 0.950031 -0.052091
  0.672771 0.379531 -2.794322 -0.938432
  0.470944 0.595010 0.957229 1.964368
  0.012120 0.809656 1.262147 1.169445
  0.877241 0.341284 -0.907639 -0.565907
  0.495225 0.253041 -0.756887 0.651608
  0.786582 0.673697 1.538701 0.100952
  0.487687 0.941991 -1.459421 -0.834585
  0.253184 0.823765 -0.909685 2.856125
  0.975994 0.076216 -0.719186 0.448022
  0.843318 0.601659 1.246079 0.430262
  0.174947 0.364628 -0.892458 0.979430
  0.994587 0.305639 -1.236705 0.937919
  0.114637 0.870146 0.736970 -0.548544
  0.382336 0.978228 -0.692203 0.169320
  0.604479 0.399516 0.551225 -0.286692
  0.192892 0.349122 0.073174 0.448063
  0.714209 0.859200 -0.622129 1.497477
  0.422870 0.441425 1.141618 -0.011304
  0.220918 0.318442 1.126752 -0.720378
  0.962922 0.014085 -0.673714 1.403430
  0.793443 0.006240 0.223223 0.750918
  0.124394 0.139754 0.428133 -0.116786
  0.976298 0.638344 -0.565842 -1.314118
  0.459097 0.155168 -1.117419 0.420550
  0.246098 0.435802 0.921882 -0.606090
  0.912649 0.879122 -1.875875 0.283915
  0.440663 0.459500 0.620948 0.999893
  0.541325 0.778480 0.811380 -1.711655
  0.276819 0.370853 0.789081 0.428433
  0.367897 0.501284 0.375271 2.383443
  0.332062 0.275491 0.277354 0.803228
  0.036599 0.847158 -0.152056 0.083958
  0.364509 0.608938 -1.590668 -0.996662
  0.308423 0.295069 -1.403574 0.608906
  0.818635 0.909018 -0.009291 0.126962
  0.771774 0.904587 0.285323 -0.549772
  0.468458 0.500605 2.587797 0.414189
  0.304911 0.839860 -0.289478 1.465762
  0.430011 0.107342 1.330833 0.068336
  0.582011 0.825491 0.151351 -1.019105
  0.967247 0.208252 -0.784871 0.083655
  0.003975 0.247136 -1.929545 -0.604307
  0.759066 0.261231 -0.056584 -2.474754
  0.365115 0.507347 -0.909879 0.323717
  0.021189 0.528161 -0.158005 -0.926976
  0.115661 0.537653 -0.649725 1.576992
  0.264507 0.586036 -1.387737 -0.092286
  0.576361 0.678798 -1.788966 1.018695
  0.036909 0.553924 0.128880 0.521142
  0.217742 0.952656 -0.150186 -0.343864
  0.934113 0.070262 1.302675 -0.838102
  0.855319 0.552723 -0.730269 -1.126768
  0.702509 0.090200 1.853107 1.715842
  0.360582 0.834846 -0.662457 0.497329
  0.047073 0.124632 0.221223 -0.743167
  0.984883 0.028001 -0.208638 0.850189
  0.441336 0.805704 -0.962644 0.246046
  0.575985 0.204141 0.359917 -0.058994
  0.279802 0.347660 -0.925029 -1.556756
  0.051760 0.425371 0.026392 1.371756
  0.957613 0.391683 -0.420493 0.596222
  0.691034 0.110826 0.480818 -1.217790
  0.821429 0.560591 -0.422583 0.837154
  0.604576 0.014281 0.873336 -0.151878
  0.367224 0.880122 -2.083591 -0.187204
  0.481351 0.630220 2.094320 -0.381747
  0.283394 0.666211 -0.324444 0.315807
  0.539697 0.574813 0.369986 1.757500
  0.120491 0.556730 -0.704884 0.175000
  0.392553 0.009372 0.593197 -0.538729
  0.012380 0.687389 0.055172 0.685601
  0.613861 0.656330 -0.079705 0.294572
  0.190231 0.467455 -0.199157 -0.706095
  0.428786 0.133072 0.112544 -0.188444
  0.412080 0.818897 2.148124 0.955330
  0.351169 0.802541 -0.176052 -0.756006
  0.685241 0.555830 -1.416134 -0.283581
  0.783264 0.960646 0.912873 2.028531
  0.733400 0.622819 -0.517097 0.885114
  0.814163 0.838232 0.508702 1.048778
  0.523829 0.102200 -1.013224 0.733607
  0.231601 0.776293 0.582748 -0.393728
  0.339352 0.668336 1.005801 1.639117
  0.023598 0.779558 -0.825259 0.544361
  0.508480 0.379138 -0.253884 0.102655
  0.390827 0.314413 0.523299 1.102343
  0.289882 0.507807 -0.371126 -0.811817
  0.700249 0.055620 0.541170 0.452107
  0.954759 0.199817 -0.599352 -0.119714
  0.907746 0.724992 -0.584010 -0.818215
  0.694090 0.210728 0.816078 -0.106020
  0.769753 0.488941 -0.132677 1.291099
  0.840930 0.464823 -1.075534 -0.028804
  0.610261 0.728034 -1.003308 0.581722
  0.410987 0.644612 -1.132588 0.798486
  0.143199 0.707422 0.174734 1.648388
  0.637318 0.797058 0.781723 1.679307
  0.866456 0.058484 -0.630426 -1.097090
  0.805244 0.322764 -0.664289 -1.026239
  0.211041 0.730636 1.367567 -2.360292
  0.224112 0.412943 0.363348 0.430851
  0.439009 0.243347 -0.248234 0.860287
  0.452110 0.606878 -2.009419 1.184329
  0.633363 0.489874 -0.009076 -1.289764
  0.989380 0.735658 -0.800533 -0.762572
  0.886874 0.862487 -0.075646 -0.530172
  0.792621 0.973268 -0.384899 -0.079099
  0.611905 0.729854 -0.465311 -0.875932
  0.413696 0.583504 0.035573 -1.589476
  0.645721 0.327318 0.769801 0.171046
  0.518767 0.160198 -0.015147 -0.380294
  0.618404 0.646096 -0.791755 -0.077275
  0.861873 0.195916 -0.213923 -0.479542
  0.319363 0.272637 -1.667386 1.247585
  0.844114 0.495679 0.640286 -0.454198
  0.184287 0.006501 0.503311 -1.227307
  0.274665 0.853788 0.373373 0.524204
  0.439866 0.448979 1.653126 0.079030
  0.056645 0.295238 0.130138 -0.927856
  0.158460 0.750192 -0.801891 0.020174
  0.639714 0.629420 -1.334054 0.618211
  0.134862 0.047843 -1.653197 0.328770
  0.146404 0.485092 0.892722 0.310975
  0.252393 0.899344 -0.472397 -1.600551
  0.175758 0.086880 0.765171 0.838037
  0.091847 0.646324 -1.729217 -1.054843
  0.354116 0.728424 -0.528428 0.122443
  0.573692 0.717107 -0.852558 -1.645742
  0.589955 0.183401 -0.209483 0.211164
  0.684704 0.288273 0.627934 -0.127091
  0.397399 0.308215 -0.547353 3.086804
  0.334409 0.273246 -0.238982 -0.578623
  0.754381 0.804831 -0.125389 0.215386
  0.172234 0.513228 -2.291155 -0.893315
  0.254859 0.219996 -0.165627 -0.710968
  0.483852 0.278496 -0.165065 -0.302511
  0.367418 0.014393 0.412348 -0.803100
  0.315260 0.041949 1.431516 0.085170
  0.431466 0.119644 0.332688 -0.775369
  0.829243 0.686855 -1.474854 -1.029442
  0.268644 0.808158 -0.261441 -0.909162
  0.839650 0.578260 -0.474996 0.248107
  0.159444 0.450341 -0.488002 -0.241177
  0.254487 0.332948 0.622620 0.660027
  0.281966 0.536621 -0.910108 -1.090271
  0.320321 0.626140 1.120250 -0.841755
  0.911792 0.531347 0.107655 -1.202964
  0.141232 0.651123 -1.076756 -0.655079
  0.340737 0.887140 0.173817 -1.458450
  0.977799 0.877246 0.388552 -1.956542
  0.717416 0.352002 0.193461 -0.430713
  0.026059 0.200129 0.757675 0.517644
  0.646867 0.910860 0.017046 0.391576
  0.127835 0.285858 0.334228 0.206474
  0.676227 0.748864 0.273124 -1.998214
  0.423641 0.643720 1.526109 -0.609294
  0.825017 0.110930 0.138918 0.347398
  0.924623 0.751247 -0.570849 -0.757196
  0.473665 0.174809 -0.252830 -0.698760
  0.556161 0.870015 -0.890353 0.765696
  0.439163 0.882583 -0.481180 0.941573
  0.629859 0.212752 0.488870 1.450382
  0.827836 0.685281 0.913208 0.052268
  0.871392 0.546845 0.340865 1.905049
  0.951359 0.120459 2.122835 0.418965
  0.500943 0.272968 0.289708 0.728538
  0.252802 0.234398 -0.199801 1.061174
  0.510486 0.628027 0.333362 0.914297
  0.169300 0.554499 -1.261821 -2.074334
  0.064993 0.782521 -0.254907 -1.268325
  0.696500 0.055684 -0.268805 0.062334
  0.931916 0.000359 0.527384 -0.955485
  0.909073 0.226794 0.285764 1.425781
  0.709902 0.617485 -1.029426 -1.208815
  0.840863 0.044660 1.133478 1.958055
  0.156671 0.326918 0.040369 -1.124039
  0.599960 0.888188 0.847198 0.761349
  0.790480 0.851829 -0.063117 0.965445
  0.864932 0.271115 0.842902 -0.769444
  0.067115 0.589242 -1.169575 -1.690818
  0.623617 0.406813 -1.637037 1.546387
  0.855466 0.506153 -0.720058 0.305482
  0.944655 0.580029 1.056629 -1.319335
  0.249400 0.187590 1.052670 0.237846
  0.798133 0.759145 1.006486 2.252742
  0.349187 0.807872 -0.423007 -0.779929
  0.036570 0.886232 0.481606 -0.215809
  0.495290 0.156561 1.778564 -0.547472
  0.936847 0.245569 -0.067087 0.284293
  0.314604 0.446567 0.722347 0.719718
  0.842781 0.629662 -0.577323 0.716619
  0.867318 0.673291 0.947188 0.432178
  0.271068 0.263798 0.106043 0.603755
  0.464480 0.475705 0.246267 -0.239599
  0.091509 0.148527 -0.798633 -0.302464
  0.779429 0.364623 1.813563 -0.170247
  0.476825 0.526082 -0.026725 -1.052135
  0.673121 0.287066 -1.602549 -0.938963
  0.347005 0.075995 0.170568 0.555435
  0.509175 0.331691 0.443508 -0.922662
  0.135671 0.478409 1.803106 -0.678569
  0.421973 0.840869 0.287226 1.351837
  0.006592 0.749912 -0.522728 -1.927818
  0.808682 0.741398 1.136261 2.343731
  0.250811 0.102903 -0.717802 -0.261976
  0.755357 0.049876 1.035932 1.481144
  0.232293 0.122629 1.432038 -0.604631
  0.755160 0.366610 -0.758644 -0.420219
  0.963755 0.344312 1.110475 1.047268
  0.352617 0.951892 -1.560716 -0.973783
  0.540414 0.682333 1.288173 -0.234100
  0.013708 0.761083 0.076846 -0.147395
  0.497656 0.457839 1.783037 -0.188517
  0.649256 0.902058 1.147580 -0.805846
  0.400147 0.959870 -1.427391 1.600474
  0.023144 0.578420 -0.265739 0.762886
  0.566891 0.670197 0.416976 -0.704263
  0.388609 0.509651 -1.265366 0.606671
  0.722841 0.009546 0.044006 0.759275
  0.393848 0.305983 0.400946 -0.633473
  0.629446 0.589981 0.422568 -1.678791
  0.394467 0.755517 -0.635093 -0.128351
  0.750527 0.679137 -0.314792 -0.738098
  0.360199 0.211990 0.821837 1.363413
  0.674557 0.968785 -1.521283 2.163779
  0.331842 0.031314 -0.145189 -0.353478
  0.092006 0.829232 -0.759303 -0.864971
  0.695100 0.770759 -0.450563 -2.656976
  0.008332 0.098936 -0.041493 -1.464902
  0.855628 0.665005 0.824788 0.598344
  0.873670 0.890211 0.072956 1.785116
  0.424660 0.227391 1.237946 1.395814
  0.181397 0.341886 -0.077428 -0.370299
  0.946675 0.223469 -1.580409 -0.159003
  0.338395 0.140679 -1.320559 0.703723
  0.434319 0.744861 -0.373995 -0.306765
  0.216428 0.910758 -0.154888 1.369155
  0.253264 0.389435 -0.361571 0.906569
  0.419497 0.153394 0.217438 -0.239801
  0.940054 0.252281 0.075186 -0.009543
  0.777144 0.095482 -1.343895 0.910587
  0.493286 0.681424 -0.101442 -0.663329
  0.431772 0.958916 0.000834 -0.402143
  0.643528 0.756583 0.954098 -0.704396
  0.405613 0.482222 -1.331562 0.869204
  0.917212 0.049304 0.018873 1.475767
  0.190866 0.201821 -0.405045 -0.885238
  0.798415 0.427530 0.378298 -1.644854
  0.896176 0.254019 -0.857277 -1.330950
  0.545577 0.743485 1.221304 0.281074
  0.687054 0.854464 1.483341 1.095208
  0.707354 0.023699 -0.117508 -0.999860
  0.373388 0.561825 0.108499 -1.064427
  0.179628 0.560148 0.655548 -2.254509
  0.758047 0.729169 -2.261290 -0.859895
  0.323079 0.043382 -0.770248 -0.935488
  0.794503 0.964177 -0.728761 -0.621029
  0.785208 0.155579 0.427124 -0.679026
  0.238635 0.913019 0.545876 0.743740
  0.918367 0.305703 -0.201174 1.172308
  0.534942 0.306430 -0.195703 0.086057
  0.289744 0.558142 -0.402992 0.119173
  0.069310 0.252657 -0.688604 0.139480
  0.066785 0.430720 0.295997 -0.992524
  0.323061 0.787075 0.726158 -0.415510
  0.019228 0.804429 1.522531 0.028911
  0.282754 0.883778 0.871323 1.298829
  0.223437 0.948148 -1.062537 -1.253675
  0.430904 0.813768 -2.031660 -0.461988
  0.465980 0.731228 -1.212411 -0.624900
  0.287735 0.538052 -1.112956 -0.418193
  0.832417 0.304649 1.414162 -0.824845
  0.382391 0.573565 -1.528580 -1.534904
  0.091486 0.555285 -0.838306 0.480000
  0.946423 0.674494 0.897784 0.077993
  0.989820 0.229133 -1.837765 0.849531
  0.775939 0.840467 -0.056094 -0.840146
  0.268812 0.717962 -0.338244 1.028354
  0.217795 0.337739 -2.276709 -2.392440
  0.398789 0.627925 -0.260636 -0.871282
  0.567746 0.476620 1.742529 0.958508
  0.934407 0.178080 0.240639 0.435946
  0.298737 0.222381 -0.588641 -0.876380
  0.180920 0.579534 1.304354 -0.084744
  0.683606 0.914038 -1.299594 3.111789
  0.650420 0.208685 -0.439265 -1.544546
  0.962007 0.940920 0.298547 -0.559390
  0.357847 0.412235 0.223978 -0.249885
  0.869402 0.589351 0.912195 -1.530826
  0.168200 0.852699 -0.656257 0.578450
  0.091961 0.526267 -0.363063 -0.634439
  0.317738 0.323955 -0.355636 0.055033
  0.099423 0.228033 -0.508310 -0.881945
  0.304796 0.342735 -0.092905 -0.101975
  0.083777 0.251393 1.480321 -0.353685
  0.657865 0.939939 -0.434500 1.133325
  0.461321 0.712424 0.203976 -0.814733
  0.353298 0.036849 0.445121 0.584921
  0.024257 0.932105 0.222832 -0.139668
  0.496073 0.384358 1.205126 0.358676
  0.534697 0.342265 -0.922729 0.381010
  0.838693 0.616637 0.935617 -0.884779
  0.488841 0.155082 -1.851628 -0.271133
  0.117732 0.879735 -2.002367 -0.375282
  0.519581 0.134491 -0.202082 0.484408
  0.182738 0.010628 0.993397 0.236213
  0.197438 0.141526 1.103899 -1.123452
  0.718993 0.882690 0.126622 0.218469
  0.814442 0.347540 2.060351 -0.995448
  0.383277 0.521877 -0.030649 -0.510423
  0.015009 0.408104 0.874774 1.863959
  0.251461 0.861513 1.547045 -0.628242
  0.199705 0.723646 1.022105 -0.293089
  0.025319 0.302724 -1.047828 -0.040630
  0.002870 0.010058 -0.103403 -1.889185
  0.874979 0.294222 0.850245 0.667132
  0.487512 0.699687 -0.827944 0.373873
  0.016147 0.729562 -1.296530 -0.433231
  0.814128 0.903265 -1.263020 0.515750
  0.855990 0.234476 -1.199457 -0.121430
  0.401624 0.154573 0.546836 0.625995
  0.766552 0.258690 0.653199 -0.308397
  0.918206 0.053953 0.528459 -0.076014
  0.556528 0.698321 -0.869086 -0.990496
  0.437074 0.231703 1.314124 -1.387574
  0.011350 0.752247 0.339774 -0.406062
  0.868863 0.841508 0.807241 0.412028
  0.736211 0.721704 -1.728143 0.981107
  0.926469 0.551385 -0.864768 -0.112755
  0.281811 0.808166 -1.786233 0.484164
  0.164778 0.891585 -0.045547 -1.497125
  0.967882 0.361135 -0.193912 -0.145892
  0.996114 0.088471 0.611154 -1.253884
  0.790698 0.387333 1.469023 -0.449546
  0.664305 0.559294 -1.367279 -0.954590
  0.495204 0.702558 -0.969219 0.215661
  0.972885 0.670465 -0.670554 0.819668
  0.553498 0.077762 0.988136 0.370615
  0.816612 0.362137 1.084323 -0.842733
  0.226589 0.330589 -0.476922 -0.672347
  0.080343 0.308209 1.022805 -1.521759
  0.328127 0.699551 -0.956555 -1.480864
  0.117327 0.944622 -0.930997 -0.529987
  0.168482 0.211568 -1.392545 2.185858
  0.958545 0.946063 -0.366021 -2.560703
  0.732528 0.597604 -1.288166 -2.075076
  0.781944 0.166123 -0.559994 -0.307671
  0.520817 0.425737 -1.062646 1.803871
  0.904219 0.273084 0.451605 -0.027968
  0.934843 0.972641 -2.269468 1.407004
  0.234005 0.598838 -0.347865 0.419053
  0.458013 0.824995 -0.472069 0.552864
  0.151169 0.333948 0.834283 0.042555
  0.199709 0.369255 1.941658 1.249889
  0.781753 0.010514 -1.160255 1.246055
  0.632603 0.071781 0.217981 0.354736
  0.229456 0.001091 -0.476617 -1.152534
  0.273859 0.316200 -0.168096 -1.537775
  0.179257 0.944039 -1.660309 -0.560316
  0.573521 0.175062 1.157170 -0.946535
  0.606839 0.217491 -0.005203 0.922822
  0.449418 0.943072 -0.279339 -0.966883
  0.981917 0.830061 1.143055 1.006735
  0.062994 0.863373 2.330937 -0.675716
  0.322058 0.322530 -2.049352 -1.301623
  0.322398 0.987857 -1.381680 -2.024100
  0.824547 0.926536 -0.624909 0.228891
  0.589794 0.793401 1.189886 0.027767
  0.383065 0.687765 0.720806 -0.337956
  0.702199 0.359662 -0.108157 0.542194
  0.008388 0.470858 -1.232405 0.972702
  0.648012 0.243659 1.430104 -0.625892
  0.850067 0.100767 -0.636329 -0.770069
  0.810504 0.865960 -3.031783 0.011269
  0.197277 0.283133 1.791349 0.082347
  0.744965 0.029008 -0.803330 1.288647
  0.005754 0.600749 -0.232742 1.655042
  0.942938 0.410749 -1.826104 0.253147
  0.858490 0.637029 0.327922 -0.918014
  0.131356 0.803172 -1.432568 -1.157132
  0.488637 0.389208 -1.414826 0.227158
  0.535485 0.742129 -0.166349 -2.117913
  0.674857 0.413989 -1.233341 -0.035113
  0.119454 0.423724 0.170149 0.046335
  0.574648 0.520789 -0.721245 -0.490557
  0.650053 0.305938 0.292309 1.172945
  0.798179 0.216822 -1.568700 0.435528
  0.893139 0.825726 -0.116033 -0.721410
  0.930808 0.102236 0.549869 -0.797655
  0.482432 0.967593 0.163695 -0.844593
  0.644881 0.967576 -0.928533 0.746980
  0.551857 0.447613 -0.443822 -1.792018
  0.152736 0.529973 -0.166787 0.938284
  0.639788 0.727375 0.419650 -2.300590
  0.261800 0.955487 0.833090 -0.654039
  0.155926 0.715142 0.660261 0.800389
  0.605215 0.071328 0.406655 1.201825
  0.818522 0.660224 -0.567671 -1.962229
  0.839131 0.467392 1.107499 0.835904
  0.661791 0.638026 1.870074 -0.485789
  0.123310 0.831268 -0.342356 -1.320665
  0.359768 0.192693 0.820959 -0.735408
  0.505106 0.640926 -1.661922 0.534254
  0.413892 0.549446 -0.862238 -0.929997
  0.562261 0.194606 1.080610 -0.104240
  0.651656 0.568305 -1.484092 -1.175324
  0.378612 0.366712 -0.604903 -0.355368
  0.448033 0.276155 2.265525 1.156058
  0.703389 0.327184 -0.034864 0.533355
  0.541572 0.912880 0.568440 -0.116161
  0.631743 0.928882 -0.026599 -1.304801
  0.019439 0.664396 0.583496 0.259483
  0.853034 0.709967 -1.323898 0.883170
  0.699027 0.263064 -0.840196 2.223503
  0.385373 0.023616 -0.430856 0.307571
  0.384188 0.133772 0.098705 0.182366
  0.084753 0.286170 0.840262 -1.075689
  0.003836 0.489923 0.282856 0.570408
  0.449020 0.094881 -0.384795 0.783416
  0.171938 0.314669 -1.374078 -0.542211
  0.913325 0.504781 -0.184281 0.653426
  0.668136 0.423862 1.270177 0.194624
  0.270943 0.725089 0.624633 1.078212
  0.266109 0.389727 0.179944 -0.621219
  0.035503 0.063024 0.896246 0.964869
  0.391643 0.399959 -0.865312 0.290753
  0.722598 0.970325 -1.388779 0.950793
  0.748095 0.122200 0.837755 -0.920605
  0.565489 0.147854 2.139455 0.467703
  0.577936 0.656052 0.051570 -0.143616
  0.875241 0.703326 1.212239 0.610233
  0.015385 0.323857 1.346849 -0.333095
  0.946578 0.823584 0.953002 -0.579920
  0.785800 0.166895 -0.205378 -0.068318
  0.940246 0.200680 0.771187 -0.451635
  0.437552 0.984749 -0.487864 0.294925
  0.368621 0.388897 -0.718614 1.174115
  0.341040 0.935778 0.125657 -0.868124
  0.366021 0.263598 -0.257258 0.455582
  0.637973 0.022897 -0.539367 0.690666
  0.610375 0.859808 0.159296 0.195328
  0.386848 0.734660 -0.380378 0.043385
  0.890691 0.092292 0.871295 -1.508449
  0.334389 0.813077 0.995241 -0.943738
  0.414399 0.870002 0.409882 0.139839
  0.857993 0.647228 -1.885419 0.609579
  0.941215 0.500812 -0.211451 -0.104072
  0.741661 0.700669 0.121632 0.414555
  0.899607 0.318965 -0.575820 0.615618
  0.900089 0.941663 -1.096787 -1.604809
  0.876222 0.362032 -1.096868 1.236201
  0.375924 0.204833 1.734237 -0.233334
  0.321878 0.934616 -0.650159 0.396766
  0.664057 0.812518 -1.463644 1.268781
  0.546156 0.682792 -1.179092 0.747183
  0.274193 0.827895 -0.423116 -1.124774
  0.797052 0.930534 0.654212 -0.663137
  0.409567 0.317959 0.197213 0.056068
  0.554010 0.305999 -0.808818 -0.069929
  0.590870 0.520576 -0.725062 1.677633
  0.997405 0.993882 0.394623 -2.577392
  0.169908 0.667262 0.426392 -0.931273
  0.523457 0.567614 0.252793 -0.626178
  0.828398 0.901987 0.992810 0.339883
  0.193989 0.476613 1.109533 -1.520007
  0.070142 0.259090 -0.014890 0.557114
  0.740992 0.202504 0.436913 -0.202811
  0.514113 0.269668 -0.106266 0.383009
  0.124473 0.645771 -0.525780 -0.273976
  0.781801 0.454592 0.658635 0.723727
  0.179045 0.172579 0.080570 -0.908242
  0.497422 0.202546 -1.367956 0.986325
  0.108791 0.950423 -2.010172 2.613708
  0.940135 0.210828 0.572835 -0.440065
  0.106696 0.555913 -0.503006 -0.460270
  0.355425 0.616186 -0.884864 -0.278240
  0.617699 0.450236 0.350308 1.346296
  0.658080 0.954737 0.159811 -0.707045
  0.569023 0.282824 0.122100 -0.668280
  0.665776 0.405389 0.505541 -1.245275
  0.544347 0.104631 -1.813485 0.303232
  0.702945 0.211223 -2.032814 -0.623833
  0.777917 0.781082 0.888874 0.698327
  0.979127 0.336356 0.313239 -0.735845
  0.135368 0.461567 0.314249 0.973160
  0.852821 0.565699 -0.468116 0.659312
  0.614976 0.292322 -0.429833 -1.508771
  0.119745 0.870240 -1.099282 0.285924
  0.614559 0.737272 -1.037044 -0.091629
  0.020793 0.812735 -1.794313 -0.743318
  0.398770 0.562266 0.237135 0.015802
  0.561413 0.783373 0.976359 0.101993
  0.350140 0.110143 1.375199 -1.676027
  0.216390 0.263657 0.898074 0.230511
  0.359245 0.405117 0.494608 2.320004
  0.365670 0.412937 0.141610 1.649203
  0.387671 0.750350 2.140006 1.552126
  0.282441 0.971324 0.720362 0.750315
  0.437857 0.093477 0.469497 -1.813185
  0.903751 0.988723 2.009259 0.048449
  0.081171 0.218257 -0.169751 0.234415
  0.211012 0.498813 -0.377537 -0.541951
  0.021083 0.873972 1.784439 2.191000
  0.294723 0.797028 0.533014 -0.848483
  0.184662 0.760095 -1.070975 0.321716
  0.810213 0.569258 -0.148011 2.077457
  0.172413 0.641534 -0.647831 0.689700
  0.824282 0.129144 -0.955178 -1.330067
  0.537596 0.117771 0.040083 0.837263
  0.653324 0.117112 -0.472111 1.504707
  0.016281 0.097213 -0.995602 -1.197963
  0.816580 0.916187 -1.078833 -1.504867
  0.063666 0.057268 -0.040829 -1.104947
  0.807956 0.203174 1.168077 1.373650
  0.704931 0.591354 0.198449 -1.323184
  0.171181 0.664545 -0.092740 1.207946
  0.940276 0.531241 -0.122538 -0.034988
  0.780466 0.235015 0.600534 1.644631
  0.840618 0.044386 0.252202 0.012184
  0.004993 0.447480 -0.009013 1.057156
  0.788894 0.253645 0.740772 -1.557357
  0.603012 0.085651 -0.685333 -0.048558
  0.093167 0.901775 -0.673078 -1.780307
  0.937771 0.820087 0.877705 -0.558333
  0.846958 0.942728 -0.121308 1.162792
  0.762845 0.235747 -0.423489 1.264284
